token,direction,mean_impact_Q1,rank_Q1,window_Q1,mean_impact_Q2,rank_Q2,window_Q2,entered_Q2,exited_in_Q2,delta_rank,delta_impact
ces,neg,-0.012893519285630612,1,Q1,,31,,False,True,-30,0.012893519285630612
innovation,neg,-0.012763663426520777,2,Q1,,31,,False,True,-29,0.012763663426520777
chair,neg,-0.010648816251583416,3,Q1,,31,,False,True,-28,0.010648816251583416
buy signals,neg,-0.009459451392127078,4,Q1,,31,,False,True,-27,0.009459451392127078
additional,neg,-0.009401101610183699,5,Q1,,31,,False,True,-26,0.009401101610183699
administration,neg,-0.009218977701265868,6,Q1,,31,,False,True,-25,0.009218977701265868
consider,neg,-0.009138447178649705,7,Q1,,31,,False,True,-24,0.009138447178649705
auto tariffs,neg,-0.009057049911876256,8,Q1,,31,,False,True,-23,0.009057049911876256
revolution,neg,-0.009018836839665754,9,Q1,,31,,False,True,-22,0.009018836839665754
significant downturn,neg,-0.008519633992784617,10,Q1,,31,,False,True,-21,0.008519633992784617
corporation stock,neg,-0.0080986586960768,11,Q1,,31,,False,True,-20,0.0080986586960768
new year,neg,-0.00809146532833888,12,Q1,,31,,False,True,-19,0.00809146532833888
new york,neg,-0.007958670308210737,13,Q1,,31,,False,True,-18,0.007958670308210737
buying opportunity,neg,-0.007899419274410934,14,Q1,,31,,False,True,-17,0.007899419274410934
auto,neg,-0.0077849370771518565,16,Q1,,31,,False,True,-15,0.0077849370771518565
rigetti,neg,-0.007487518896962998,17,Q1,,31,,False,True,-14,0.007487518896962998
consecutive day,neg,-0.007407830370258735,18,Q1,,31,,False,True,-13,0.007407830370258735
taiwan,neg,-0.007204618436230186,19,Q1,,31,,False,True,-12,0.007204618436230186
stocks tumble,neg,-0.006991362015208134,20,Q1,,31,,False,True,-11,0.006991362015208134
sensex,neg,-0.006615690801124382,21,Q1,,31,,False,True,-10,0.006615690801124382
stocks watch,neg,-0.006551148651147379,22,Q1,,31,,False,True,-9,0.006551148651147379
ride,neg,-0.006500556941155523,23,Q1,,31,,False,True,-8,0.006500556941155523
sentiment,neg,-0.006051098881418285,24,Q1,,31,,False,True,-7,0.006051098881418285
driving markets,neg,-0.005956460717144406,25,Q1,,31,,False,True,-6,0.005956460717144406
leadership,neg,-0.005924281210944818,26,Q1,,31,,False,True,-5,0.005924281210944818
dropping,neg,-0.005698609243988167,27,Q1,,31,,False,True,-4,0.005698609243988167
advance,neg,-0.005694050907237391,28,Q1,,31,,False,True,-3,0.005694050907237391
nvidia nvda,neg,-0.0056119466730207845,29,Q1,,31,,False,True,-2,0.0056119466730207845
timothy fries,neg,-0.005147506872039153,30,Q1,,31,,False,True,-1,0.005147506872039153
corporation read,neg,-0.007820214397785354,15,Q1,-0.0066869626375159,15,Q2,False,False,0,0.0011332517602694542
deal,neg,,31,,-0.004705691750009886,30,Q2,True,False,1,-0.004705691750009886
previous,neg,,31,,-0.0048196358642699135,29,Q2,True,False,2,-0.0048196358642699135
did,neg,,31,,-0.005027630509677199,28,Q2,True,False,3,-0.005027630509677199
network,neg,,31,,-0.0050934800289717174,27,Q2,True,False,4,-0.0050934800289717174
software,neg,,31,,-0.005319059940582513,26,Q2,True,False,5,-0.005319059940582513
buy rating,neg,,31,,-0.0054910168976619825,25,Q2,True,False,6,-0.0054910168976619825
new ceo,neg,,31,,-0.005826001276012508,24,Q2,True,False,7,-0.005826001276012508
crude,neg,,31,,-0.0058335214567760965,23,Q2,True,False,8,-0.0058335214567760965
digested,neg,,31,,-0.0058452670766432685,22,Q2,True,False,9,-0.0058452670766432685
apple nasdaq,neg,,31,,-0.005971073413997175,21,Q2,True,False,10,-0.005971073413997175
performance,neg,,31,,-0.00603572780625247,20,Q2,True,False,11,-0.00603572780625247
reports,neg,,31,,-0.0061169039928797245,19,Q2,True,False,12,-0.0061169039928797245
war escalation,neg,,31,,-0.006145783075756933,18,Q2,True,False,13,-0.006145783075756933
buying,neg,,31,,-0.00637853499311338,17,Q2,True,False,14,-0.00637853499311338
jumped,neg,,31,,-0.006385541847488803,16,Q2,True,False,15,-0.006385541847488803
ceasefire,neg,,31,,-0.0067320563647395824,14,Q2,True,False,17,-0.0067320563647395824
watching advanced,neg,,31,,-0.0070145214650607045,13,Q2,True,False,18,-0.0070145214650607045
corporation nvidia,neg,,31,,-0.007499697789311814,12,Q2,True,False,19,-0.007499697789311814
jump,neg,,31,,-0.007722866466942779,11,Q2,True,False,20,-0.007722866466942779
buy stock,neg,,31,,-0.008121487722880641,10,Q2,True,False,21,-0.008121487722880641
peak,neg,,31,,-0.008841936110102328,9,Q2,True,False,22,-0.008841936110102328
ceo,neg,,31,,-0.011860090127416916,8,Q2,True,False,23,-0.011860090127416916
apple stock,neg,,31,,-0.012345459347366966,7,Q2,True,False,24,-0.012345459347366966
crude oil,neg,,31,,-0.014576668918878315,6,Q2,True,False,25,-0.014576668918878315
new,neg,,31,,-0.015330827517892843,5,Q2,True,False,26,-0.015330827517892843
ceo jensen,neg,,31,,-0.016060887455478057,4,Q2,True,False,27,-0.016060887455478057
apple nvidia,neg,,31,,-0.01918733175711741,3,Q2,True,False,28,-0.01918733175711741
concerns,neg,,31,,-0.023957024408877182,2,Q2,True,False,29,-0.023957024408877182
confidence,neg,,31,,-0.028249912226844007,1,Q2,True,False,30,-0.028249912226844007
chair,pos,0.014375456256510197,1,Q1,,31,,False,True,-30,-0.014375456256510197
revolution,pos,0.013988075838118534,2,Q1,,31,,False,True,-29,-0.013988075838118534
adding,pos,0.011366393969555596,3,Q1,,31,,False,True,-28,-0.011366393969555596
consecutive day,pos,0.010068728781550044,4,Q1,,31,,False,True,-27,-0.010068728781550044
innovation,pos,0.010013552849250982,5,Q1,,31,,False,True,-26,-0.010013552849250982
ces,pos,0.009551051129020546,6,Q1,,31,,False,True,-25,-0.009551051129020546
auto,pos,0.009382290881786737,7,Q1,,31,,False,True,-24,-0.009382290881786737
administration,pos,0.00928849937831751,8,Q1,,31,,False,True,-23,-0.00928849937831751
new york,pos,0.0084923477542264,10,Q1,,31,,False,True,-21,-0.0084923477542264
taiwan,pos,0.008270205691076228,11,Q1,,31,,False,True,-20,-0.008270205691076228
buy signals,pos,0.008131307981278755,12,Q1,,31,,False,True,-19,-0.008131307981278755
significant downturn,pos,0.007657404691453878,13,Q1,,31,,False,True,-18,-0.007657404691453878
new year,pos,0.007582980198440217,14,Q1,,31,,False,True,-17,-0.007582980198440217
auto tariffs,pos,0.007515069033454737,15,Q1,,31,,False,True,-16,-0.007515069033454737
corporation stock,pos,0.006895583948093292,16,Q1,,31,,False,True,-15,-0.006895583948093292
stocks watch,pos,0.006883692028629287,17,Q1,,31,,False,True,-14,-0.006883692028629287
buying opportunity,pos,0.006846253065236824,18,Q1,,31,,False,True,-13,-0.006846253065236824
consider,pos,0.00672339756246627,19,Q1,,31,,False,True,-12,-0.00672339756246627
stocks tumble,pos,0.006653617222433048,20,Q1,,31,,False,True,-11,-0.006653617222433048
sentiment,pos,0.006534713664421742,21,Q1,,31,,False,True,-10,-0.006534713664421742
initial public,pos,0.006382122697812878,22,Q1,,31,,False,True,-9,-0.006382122697812878
initially,pos,0.006381540728707909,23,Q1,,31,,False,True,-8,-0.006381540728707909
sensex,pos,0.006126083140329214,24,Q1,,31,,False,True,-7,-0.006126083140329214
fluctuations,pos,0.005848607932565577,25,Q1,,31,,False,True,-6,-0.005848607932565577
advance,pos,0.005651432616363215,27,Q1,,31,,False,True,-4,-0.005651432616363215
nyse,pos,0.005129546507391097,28,Q1,,31,,False,True,-3,-0.005129546507391097
significant,pos,0.005009150297669194,29,Q1,,31,,False,True,-2,-0.005009150297669194
corporation read,pos,0.009184609717545858,9,Q1,0.009568198141232692,10,Q2,False,False,-1,0.00038358842368683456
rigetti,pos,0.004827591160294047,30,Q1,,31,,False,True,-1,-0.004827591160294047
push,pos,,31,,0.004749773665521923,30,Q2,True,False,1,0.004749773665521923
reportedly,pos,,31,,0.004817519990183285,29,Q2,True,False,2,0.004817519990183285
buyers,pos,,31,,0.004976060380355497,28,Q2,True,False,3,0.004976060380355497
10 tech,pos,,31,,0.0050040414659295925,27,Q2,True,False,4,0.0050040414659295925
buy rating,pos,0.005733140282603616,26,Q1,0.005500013084375559,22,Q2,False,False,4,-0.00023312719822805687
reports,pos,,31,,0.005016893504873271,26,Q2,True,False,5,0.005016893504873271
peak,pos,,31,,0.005237749116768035,25,Q2,True,False,6,0.005237749116768035
corporation nvidia,pos,,31,,0.0052413420133591605,24,Q2,True,False,7,0.0052413420133591605
buying,pos,,31,,0.0054567602051033455,23,Q2,True,False,8,0.0054567602051033455
stock picks,pos,,31,,0.005501299921752629,21,Q2,True,False,10,0.005501299921752629
current,pos,,31,,0.006014818800226112,20,Q2,True,False,11,0.006014818800226112
apple nasdaq,pos,,31,,0.006254948359120284,19,Q2,True,False,12,0.006254948359120284
jump,pos,,31,,0.006691200287600202,18,Q2,True,False,13,0.006691200287600202
did,pos,,31,,0.006725525372523742,17,Q2,True,False,14,0.006725525372523742
wave,pos,,31,,0.006989755446826265,16,Q2,True,False,15,0.006989755446826265
network,pos,,31,,0.007151188010583912,15,Q2,True,False,16,0.007151188010583912
jumped,pos,,31,,0.007370080835663882,14,Q2,True,False,17,0.007370080835663882
buy stock,pos,,31,,0.008108203678128898,13,Q2,True,False,18,0.008108203678128898
new ceo,pos,,31,,0.008179639507309077,12,Q2,True,False,19,0.008179639507309077
crude,pos,,31,,0.008561850118652292,11,Q2,True,False,20,0.008561850118652292
crude oil,pos,,31,,0.009931651422085793,9,Q2,True,False,22,0.009931651422085793
performance,pos,,31,,0.010189017925658591,8,Q2,True,False,23,0.010189017925658591
new,pos,,31,,0.010919481304984224,7,Q2,True,False,24,0.010919481304984224
ceo,pos,,31,,0.01191023199747556,6,Q2,True,False,25,0.01191023199747556
apple stock,pos,,31,,0.012932383397997127,5,Q2,True,False,26,0.012932383397997127
ceo jensen,pos,,31,,0.015993271397957923,4,Q2,True,False,27,0.015993271397957923
apple nvidia,pos,,31,,0.01831653276136427,3,Q2,True,False,28,0.01831653276136427
confidence,pos,,31,,0.024796983158996037,2,Q2,True,False,29,0.024796983158996037
concerns,pos,,31,,0.02729299094279576,1,Q2,True,False,30,0.02729299094279576
